id;studyid;reference;lat;lon;mat;map;clay;soc;ph;year;g_crop_type;management;describe;fertilizer_type;crop_residue;tillage;cover_crop_and_crop_rotation;fertilizer_strategy;rfr;rfp;rft;n_dose;replication ;nue_type;nuet_mean;nuet_sd;nuec_mean;nuec_sd;nup_type;nut_mean;nut_sd;nut_0N;nuc_mean;nuc_sd;nuc_0N
60;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RT;;mineral;yes;reduced;no;conventional;no;no;no;220;4;REN;28,41;;31,24;;up_total;216,17;;;207,11;;
61;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RT;;mineral;yes;reduced;no;conventional;no;no;no;260;4;REN;25,39;;28,24;;up_total;254,99;;;246,09;;
62;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RT;;mineral;no;reduced;no;conventional;no;no;no;140;4;REN;33,65;;37,37;;up_total;141,41;;;125,06;;
63;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RT;;mineral;no;reduced;no;conventional;no;no;no;180;4;REN;30,52;;34,35;;up_total;206,72;;;187,07;;
64;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RT;;mineral;no;reduced;no;conventional;no;no;no;220;4;REN;27,44;;31,24;;up_total;220,43;;;203,56;;
65;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RT;;mineral;no;reduced;no;conventional;no;no;no;260;4;REN;24,02;;28,24;;up_total;261,06;;;242,85;;
66;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;conventional;no;conventional;no;no;no;140;4;REN;36,32;;37,37;;up_total;128,45;;;137,18;;
67;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;conventional;no;conventional;no;no;no;180;4;REN;33,87;;34,35;;up_total;192,48;;;200,12;;
68;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;conventional;no;conventional;no;no;no;220;4;REN;30,33;;31,24;;up_total;207,11;;;216,17;;
69;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;conventional;no;conventional;no;no;no;260;4;REN;27,59;;28,24;;up_total;246,09;;;254,99;;
70;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;reduced;no;conventional;no;no;no;140;4;REN;34,9;;37,37;;up_total;125,06;;;141,41;;
71;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;reduced;no;conventional;no;no;no;180;4;REN;29,75;;34,35;;up_total;187,07;;;206,72;;
72;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;reduced;no;conventional;no;no;no;220;4;REN;28,41;;31,24;;up_total;203,56;;;220,43;;
73;15;Brennan_2014_The;52,87;-6,94;9,525006231;900,9832809;23,56428571;54,08571429;6,114285714;3;wheat;RES;;mineral;yes;reduced;no;conventional;no;no;no;260;4;REN;25,39;;28,24;;up_total;242,85;;;261,06;;
74;16;Cai Hong-guang_2012_Effect_Chinese;43,8;125,41;5,816233444;750,2869541;24,92857143;18,13571429;6,792857143;1;rice;RFR;farmers'N practice210kgN/ha;mineral;no;conventional;no;rate;yes;no;no;190;3;REN;55,78947368;;34,76190476;;up_total;185;;79;152;;79
75;16;Cai Hong-guang_2012_Effect_Chinese;43,8;125,41;5,816233444;750,2869541;24,92857143;18,13571429;6,792857143;1;rice;RFR;farmers'N practice210kgN/ha;mineral;no;conventional;no;rate;yes;no;no;140;3;REN;47,14285714;;34,76190476;;up_total;145;;79;152;;79
79;18;Cao N_2012_Effect_Chinese;43,95;125,24;6,009625371;703,0595886;24,42857143;13,6;7,335714286;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;180;3;REN;33,62;;22,29;;;;;;;;
80;18;Cao N_2012_Effect_Chinese;43,95;125,24;6,009625371;703,0595886;24,42857143;13,6;7,335714286;1;maize;EE;CRF;enhanced;no;conventional;no;conventional;no;no;no;180;3;REN;39,87;;22,29;;;;;;;;
81;19;Cao_2018_Effects;30,9;121,4;16,86473605;1376,393303;27,69285714;14,6;7,264285714;1;rice;RES;;mineral;yes;reduced;no;conventional;no;no;no;225;3;REN;24,6;;20,4;;up_total;136,8;;;123,5;;
82;20;Carter_1985_Spring;49,76;-112,85;6,291119512;464,4773254;36,13571429;17,20714286;7,164285714;16;wheat;NT;;mineral;no;no-till;no;conventional;no;no;no;100;3;REN;20,3;;27,7;;;;;;;;
83;20;Carter_1985_Spring;51,7;-105,47;2,89593722;513,8072515;32,1;23,25;7;4;wheat;NT;;mineral;no;no-till;no;conventional;no;no;no;100;3;REN;26,6;;23,8;;;;;;;;
84;20;Carter_1985_Spring;51,7;-105,47;2,89593722;513,8072515;32,1;23,25;7;4;wheat;NT;;mineral;no;no-till;no;conventional;no;no;no;100;3;REN;20;;26,6;;;;;;;;
85;20;Carter_1985_Spring;52,39;-108,83;2,75046196;481,5757783;30,42142857;21,25;7,092857143;2;wheat;NT;;mineral;no;no-till;no;conventional;no;no;no;100;3;REN;21,4;;24,7;;;;;;;;
86;20;Carter_1985_Spring;52,39;-108,83;2,75046196;481,5757783;30,42142857;21,25;7,092857143;2;wheat;NT;;mineral;no;no-till;no;conventional;no;no;no;100;3;REN;31,2;;24,7;;;;;;;;
