ID,lon,lat,bdod_mean_0_5,bdod_mean_15_30,bdod_mean_5_15,cec_mean_0_5,cec_mean_15_30,cec_mean_5_15,clay_mean_0_5,clay_mean_15_30,clay_mean_5_15,ntot_mean_0_5,ntot_mean_15_30,ntot_mean_5_15,phw_mean_0_5,phw_mean_15_30,phw_mean_5_15,sand_mean_0_5,sand_mean_15_30,sand_mean_5_15,silt_mean_0_5,silt_mean_15_30,silt_mean_5_15,soc_mean_0_5,soc_mean_15_30,soc_mean_5_15,pre_mean,pre_sd,tmp_mean,tmp_sd,pet_mean,pet_sd,GEnZname,GEnZ,GEnS
41,23.8813,55.1694,98,143,125,332,179,234,185,242,185,703,247,258,70,71,71,409,386,412,405,372,403,806,346,213,52.0859204057989,25.5222211650429,7.50545991957188,8.12037686456899,1.70344830330076,1.42436181397876,H. Cool temperate and dry,H,H5
42,18.6435,60.1282,41.8464566929134,59.8503937007874,54.1181102362205,178.318897637795,83.8661417322835,117.181102362205,94.238188976378,98.8326771653543,94.9724409448819,431.385826771654,190.238188976378,309.63188976378,24.1909448818898,25.75,24.4665354330709,229.811023622047,225.407480314961,229.61811023622,148.374015748032,148.183070866142,147.860236220472,740.407480314961,255.320866141732,698.86220472441,47.000575431462,25.4746755967855,6.0364943599307,7.10985985638163,1.4637931281508,1.283169494293,G. Cold and mesic,G,G12
43,2.2137,46.2276,131,143,136,358,238,276,201,213,188,460,149,283,60,62,61,499,483,508,300,304,303,488,161,256,69.1603459846014,31.5327094974777,11.087931253958,5.93222281497009,2.25632187400827,1.46831680487225,J. Cool temperate and moist,J,J5
44,4.8357,45.764,110.90027700831,124.817174515235,121.559556786704,278.997229916898,180.440443213296,194,195.185595567867,229.714681440443,192.083102493075,531.102493074792,164.90027700831,231.141274238227,55.1080332409972,55.7617728531856,55.6759002770083,325.648199445983,321.678670360111,319.725761772853,373.905817174515,343.335180055402,382.94459833795,533.903047091413,188.612188365651,268.324099722992,73.7149437556322,36.6501088268715,11.5086208993633,6.53909867197053,2.35402302234166,1.58640150050015,K. Warm temperate and mesic,K,K1
45,9.217,48.7154,116,137,131,307,175,201,242,256,256,728,142,294,56,58,58,262,272,253,496,471,491,507,132,259,55.2281617359526,27.7767526380592,10.1885059149615,6.89100709037758,1.9537356649579,1.36454188006425,J. Cool temperate and moist,J,J3
46,12.3,55.6667,56.9733924611974,70.5277161862528,64.9135254988914,295,159,199,167,181,157,516,161,175,66,69,68,536,534,549,298,285,295,362.667405764967,154.915742793792,192.605321507761,52.8431042030282,26.3172354314352,8.93821855418213,6.28405929946724,1.73103450878855,1.34897212181333,H. Cool temperate and dry,H,H5
47,26.729,58.378,55.3222453222453,106.239085239085,95.2079002079002,368,130,202,112,108,114,968,154,280,65,66,66,497,535,522,391,357,364,1009.93762993763,298.340956340956,702.52182952183,52.7724146514103,27.338385698672,6.02298861495808,8.43353007318864,1.57270116934917,1.39272572433628,G. Cold and mesic,G,G12
48,16.5167,48.1833,109.128947368421,117.776315789474,114.152631578947,234.86052631579,174.826315789474,189.357894736842,228.171052631579,247.092105263158,238.568421052632,564.728947368421,158.2,174.094736842105,57.0131578947369,57.2684210526316,57.671052631579,234.197368421053,244.384210526316,221.684210526316,398.113157894737,369.05,400.247368421053,396.952631578947,128.621052631579,198.342105263158,51.8408053662928,26.701656563199,10.8284484572794,7.79487177249781,2.33994256799248,1.56580427088607,J. Cool temperate and moist,J,J5
49,12.0667,42.4167,109.289473684211,121.836257309942,117.114035087719,214,187,189,235,298,247,271,145,141,73,75,73,325,300,324,439,402,429,452.418128654971,161.763157894737,177.210526315789,57.9169549661121,35.5814504537288,15.3876439291855,6.34612984857817,2.81666671613167,1.56763314629051,K. Warm temperate and mesic,K,K6
50,12.0833,55.3667,107,140,127,303,142,201,151,155,136,564,225,206,62,64,63,554,563,572,295,283,291,730,245,535,48.2100581250999,23.295255595034,9.28103465507685,6.21227180568986,1.74511496891835,1.29229785629499,G. Cold and mesic,G,G13
51,2.1714,41.6097,85.693215339233,95.7905604719764,91.6578171091446,283,199,206,261,238,235,276,169,158,75,77,77,315,321,320,424,441,445,421.964601769912,137.513274336283,185.784660766962,56.7393686692605,34.824280367797,14.2695404715922,5.64836500628123,2.90172419226033,1.40523823968877,K. Warm temperate and mesic,K,K10
52,23.4833,60.8,72,123,109,576,174,283,352,335,354,1094,190,317,51,54,54,263,253,265,385,413,381,1356,350,496,47.857759383218,26.2461785183588,5.3511495200125,8.22328358576251,1.40201151953346,1.34842058817013,G. Cold and mesic,G,G9
53,25.0333,60.2167,69,118,108,446,245,348,263,307,268,915,374,673,53,54,53,388,360,386,349,333,346,1689,993,1514,55.5278744882551,27.4785864206039,5.60431043144273,8.35544387326324,1.46034485116687,1.39743772980231,G. Cold and mesic,G,G12
54,25.0167,60.2167,69,118,108,446,245,348,263,307,268,915,374,673,53,54,53,388,360,386,349,333,346,1689,993,1514,55.5278744882551,27.4785864206039,5.60431043144273,8.35544387326324,1.46034485116687,1.39743772980231,G. Cold and mesic,G,G12
55,22.3833,60.2833,69,116,105,385,212,270,312,369,307,685,238,521,48,51,49,385,360,392,303,271,301,1265,529,1164,51.0698284068327,26.6059829297965,6.27959779056924,7.69322202309636,1.50488507953183,1.32022803436517,G. Cold and mesic,G,G12
56,8.2275,46.8181,98,113,105,454,239,334,304,306,296,991,420,612,50,52,51,272,272,270,423,422,435,985,406,622,166.261784763172,74.7999720577712,3.80258627871758,5.86447520153141,1.60862071966303,0.912251148984286,E. Cold and wet,E,E4
